"txt_cleaned","incivility","DIC","doc"
"有笑容,李卓淫斥梁嘻皮笑臉面對六四:",2,1,"有 笑容 李卓淫 斥梁 嘻皮笑臉 面對 六四"
"佔中狗賊，畜生不如，目無尊長，黑白不分，滿口歪理，指鹿為馬，禍港害民，目無法紀，民怨沸騰，天理不容，賤種就是賤種，唔見棺材唔流眼淚，跪求警察快啲清場啦，日日報紙電視上網見到啲孽畜，真係想掉曬佢地落堆填區！！",2,1,"佔中 狗賊 畜生 不如 目無尊長 黑白不分 滿口歪理 指鹿為馬 禍港 害民 目無法紀 民怨沸騰 天理不容 賤種 就是 賤種 唔見 棺材 唔 流眼淚 跪求 警察 快啲 清場 啦 日日 報紙 電視 上網 見到 啲 孽畜 真係 想 掉 曬 佢地 落 堆填區"
"港豬咪又係小農基因://i.discuss.com.hk/d/images/r10/androidd.jpg",2,1,"港豬 咪 又係 小農 基因"
"又綁架中央",0,0,"又 綁架 中央"
"如果keep住咁多人去投票 去到10點半都未投完 要諗方法俾夜晚排個班去投埋先夜晚個班都係唔小係放工人士 放得工仲去既都小左係廢老同蛇齋餅糭既機會 要俾佢地投埋先好完",2,1,"如果 住 咁多 人去 投票 去到 點半 都未 投完 要 諗 方法 俾 夜晚 排 個班 去 投埋先 夜晚 個班 都係 唔 小 係 放工 人士 放得 工仲去 既 都 小 左係 廢老 同蛇 齋餅 糭 既 機會 要俾 佢地 投埋 先好 完"
"有咩問題？如果受惠既黑人係受壓榨果班",0,0,"有咩 問題 如果 受惠 既 黑人 係 受 壓榨 果班"
"安倍唔係唔知大把人妻拍av下嘛？呢排佢開會唔返屋企食飯打比佢老婆，佢老婆電話梗係無人接…咁都扮唔知？",0,0,"安倍 唔係 唔知 大把 人妻 拍 下嘛 呢排 佢 開會 唔返 屋企 食飯 打比佢 老婆 佢 老婆 電話 梗係 無人 接 咁都 扮 唔知"
"屌你老母你有7.8 rate usd先講啦on9強國人",3,1,"屌你老母 你 有 先講 啦 強國人"
"死黑警",2,1,"死 黑警"
"含啦咸濕l!",1,1,"含啦 咸濕"
"準備入去坐5碌啦",0,0,"準備 入去坐 碌 啦"
"月尾仲未有，垃圾波",2,0,"月尾 仲未 有 垃圾 波"
"某強國無地震過?會唔會你愛國愛上腦,btw, 一堆人話政府無問題唔怪得人地叫你港豬,突發事件政府處理不當仲支持,上次賓賓國死左半車人大家我估都唔記得左政府點做野,只講今次,以香港政府能力, 安排下專車/離開熊本手段或建議方法係咪真係咁難?9鐵成千億都9比, 搞下呢d積下口碑民意又用得幾多錢?依家是但叫人注意安全, 我搵個小學雞都識啦, 洗鬼打長途去問,記住, 一個唔得既政府你仲支持, 到第日你有事政府幫你唔到你唔好怨",3,1,"某 強國 無地震 過 會 唔會 你 愛國 愛 上腦 一堆 人話 政府 無問題 唔怪得 人地 叫你 港豬 突發事件 政府 處理 不當 仲 支持 上次 賓賓 國 死左 半車 人 大家 我估 都 唔記得左 政府 點做野 只講 今次 以 香港政府 能力 安排 下 專車 離開 熊本 手段 或 建議 方法 係咪 真係 咁難 鐵成 千億 都 比 搞下 呢 積下 口碑 民意 又 用得 幾多 錢 依家 是但 叫人 注意安全 我 搵個 小學雞 都識 啦 洗鬼 打 長途 去問 記住 一個 唔得 既 政府 你仲 支持 到 第日 你 有事 政府 幫 你 唔到你 唔好 怨"
"我係講緊個位師兄的假設, 如果佢地兩仔爺夾埋比假口供, 咁個老豆贏左, 佢個仔咪可能要上身咯, 咁咪無用咯,如果個老豆輸咪一樣無用啦,",0,0,"我 係 講緊 個位 師兄 的 假設 如果 佢地 兩仔爺 夾埋 比 假口供 咁 個 老豆 贏左 佢個 仔咪 可能 要 上身 咯 咁咪 無用 咯 如 果個 老豆 輸咪 一樣 無用 啦"
"除左死左既人,否則咩義士都好,俾人捉左一定為求自保爆其他人出黎,呢個就係人性",0,0,"除左 死左 既人 否則 咩 義士 都好 俾人 捉左 一定 為求 自保 爆 其他人 出黎 呢個 就係 人性"
"人渣，你即係話呢個世界唔會有人被燒死，有既都係佢哋唔走？",1,1,"人渣 你 即係話 呢個 世界 唔會 有人 被 燒死 有 既 都係 佢哋 唔走"
"我啲同事有帶飯://i.discuss.com.hk/d/images/r10/androidd.jpg",0,0,"我 啲 同事 有 帶飯"
"除左link仲可以唔好晒左連登有得highlight然後google搜尋fc嘅功能",0,0,"除左 仲 可以 唔好 晒 左 連登 有得 然後 搜尋 嘅 功能"
"有名叫黃官！ 香港法治上年已死。rip",2,1,"有 名叫 黃官 香港 法治 上年 已死"
"無問題30萬黑警加藍屍死全家 thx！",2,1,"無問題 萬 黑警 加 藍屍 死全家"
"#許智峯流亡 林鄭月娥斥許向法庭說謊、無公信力前立法會議員許智峯及其家人的戶口被凍結，今早舉行行政會議前，林鄭月娥被問到會否影響香港國際金融中心地位及信譽，她指事件是有人向法庭說謊，以在保釋期間離開香港，又稱「政府同一個難以可以有公信力嘅人比較呢，就係政府做嘢係有規有矩」，政府「要講證據」，亦不能透露調查內容。她再次指責網上及社交媒體的「假資訊」抹黑其他機構及人士，呼籲「某一個人講嘅說話有無份量，你又會唔會信，你都要諗下呢個人有咩前科。呢個特別嘅人士有咩前科，我唔需要喺度再重覆喇。」《有線新聞》記者問及警方連日拘捕多名民主派人士，林鄭月娥稱不便評論，但指香港要「撥亂反正」，需重新建立法治社會，「有法必依，犯法就係犯法」，不能因為犯法是民主派人士「就唔做嘢」，有「護身罩」，又稱香港「並無法外之地。」source: 獨媒",0,0,"許智峯 流亡 林鄭月娥 斥許 向 法庭 說謊 無 公信力 前立法會議員 許智峯 及其 家人 的 戶口 被 凍結 今早 舉行 行政會議 前 林鄭月娥 被問到 會否 影響 香港 國際金融中心 地位 及 信譽 她 指 事件 是 有人 向 法庭 說謊 以 在 保釋 期間 離開 香港 又稱 政府 同一個 難以 可以 有公信力 嘅 人 比較 呢 就係 政府 做嘢 係有 規 有矩 政府 要 講 證據 亦 不能 透露 調查 內容 她 再次 指責 網上 及 社交媒體 的 假 資訊 抹黑 其他 機構 及 人士 呼籲 某 一個 人 講嘅 說話 有無 份量 你 又 會 唔會 信 你 都要 諗下 呢個 人 有咩 前科 呢個 特別 嘅 人士 有咩 前科 我 唔需要 喺度 再 重覆 喇 有線 新聞 記者 問及 警方 連日 拘捕 多名 民主派 人士 林鄭月娥 稱 不便評論 但 指 香港 要 撥亂反正 需 重新 建立 法治 社會 有法必依 犯法 就係 犯法 不能 因為 犯法 是 民主派 人士 就 唔做嘢 有 護身 罩 又稱 香港 並無 法外 之地 獨媒"
"葉國謙葉劉淑儀，你太年輕了。你以為這場反送中運動上真的有隱形、非常精密嘅大佬嗎？其實都是我一個人幹的，不然我再換個id發同樣的話給你看。",0,0,"葉國謙 葉劉淑儀 你 太年輕 了 你 以為 這場 反送 中 運動 上 真的 有 隱形 非常 精密 嘅 大佬 嗎 其實 都是 我 一個 人幹 的 不然 我 再 換個 發 同樣 的話 給你 看"
"日本神戶製鋼所(下稱神鋼)日前遭揭發偽造金屬材料的品質保證資料，將不合規格的鋼材及鋁材等售予全球數百間汽車、列車以至飛機... 仆街日本仔！今次影響埋我地！://hk.on.cc/hk/bkn/cnt/news/20171019/mobile/bkn-20171019111559032-1019_00822_001.html",1,1,"日本 神戶 製 鋼 所 下稱 神鋼 日前 遭 揭發 偽造 金屬 材料 的 品質 保證 資料 將 不合 規格 的 鋼材 及 鋁材 等 售予 全球 數百間 汽車 列車 以至 飛機 仆街 日本仔 今次 影響 埋 我地"
"所以咪話大家勇得嚟 都要有返啲頭腦",0,0,"所以 咪話 大家 勇 得嚟 都要 有 返 啲 頭腦"
"不要說推，請說7218111. 尖沙咀瞄頭射，射爆女仕眼球2. 以化學武器攻擊葵芳/太古車站內3. 北角無視黑幫攻擊記者/平民4. 非公職時參與非法集會，以磚/汽油彈攻擊防暴警犬，煽動民眾5. 製造偽証6. 警犬在太古站推人落電梯",2,1,"不要說 推 請 說 尖沙咀 瞄頭 射 射爆 女仕 眼球 以 化學 武器 攻擊 葵芳 太古 車站 內 北角 無視 黑幫 攻擊 記者 平民 非 公職 時 參與 非法 集會 以磚 汽油彈 攻擊 防暴 警犬 煽動 民眾 製造 偽 証 警犬 在 太古站 推人 落 電梯"
"//「意大利激進黨」（partito radicale）為了支援被囚港人，周一開始發起一個長達12天的支持活動，更會前往中國駐意大利各地的大使館及領事館示威、唱歌聲援港人，而去年曾來港聲援反送中運動的人權分子格西婭（patrizia de grazia）更會進行絕食，她要求意大利政府「立即停止支援中國政權的犯罪行為」，她續指：「為香港抗爭意味着為全世界的自由而戰，為了一個家，你的家，一個甚至連霸權中共也沒有權利奪走的地方。」激進黨希望透起這些活動，喚起國民對被囚港人的關注，要求政府停止中共政權。意大利男高音洛多拿（stefano lodola）亦響應今次活動，「我們會在意大利這邊與你們一起抗爭」。他去年亦曾來港支持反送中運動，多次在集會高唱《願榮光歸香港》。他當時表示自己特意來香港聲援港人，更開始學廣東話，音樂有力量可超越語言障礙感染眾人，他更曾在一次活動中高唱一句「香港警察，仆街衰格，香港亞洲最佳垃圾」。//",1,1,"意大利 激進 黨 為了 支援 被囚 港人 周一 開始 發起 一個 長達 天 的 支持 活動 更會 前往 中國 駐 意大利 各地 的 大使館 及 領事館 示威 唱歌 聲援 港人 而去 年 曾 來港 聲援 反送 中 運動的 人權分子 格西 婭 更會 進行 絕食 她 要求 意大利 政府 立即 停止 支援 中國 政權 的 犯罪 行為 她 續指 為香港 抗爭 意味着 為 全世界 的 自由 而戰 為了 一個 家 你 的 家 一個 甚至 連 霸權 中共 也 沒有 權利 奪走 的 地方 激進 黨 希望 透起 這些 活動 喚起 國民 對 被囚 港人 的 關注 要求 政府 停止 中共 政權 意大利 男 高音 洛多拿 亦 響應 今次 活動 我們 會 在意 大利 這邊 與 你們 一起 抗爭 他 去年 亦曾 來港 支持 反送 中 運動 多次 在 集會 高唱 願 榮光 歸 香港 他 當時 表示 自己 特意 來 香港 聲援 港人 更 開始 學 廣東話 音樂 有 力量 可 超越 語言障礙 感染 眾人 他 更 曾在 一次 活動 中 高唱 一句 香港 警察 仆街 衰格 香港 亞洲 最佳 垃圾"
"呢單要宣傳比廢老知外國政府話佢哋錯佢哋先會知錯",2,1,"呢單 要 宣傳 比 廢老 知 外國 政府 話 佢哋 錯 佢哋 先會 知錯"
"暴徒放火燒校車，成車小朋友，你良心係邊度，人渣！",3,1,"暴徒 放 火燒 校車 成車 小朋友 你 良心 係邊 度 人渣"
"留名睇 有幾多 官方後門",0,0,"留名 睇 有 幾多 官方 後門"
"熱血柒青年",1,1,"熱血 柒 青年"
"350萬而家可以買到邊區？:d",0,0,"萬 而家 可以 買到 邊區"
"退咩步姐,成班垃圾,偽人:",2,0,"退 咩 步姐 成班 垃圾 偽人"
"淘大暴徒",2,1,"淘大 暴徒"
"屌你老母",1,1,"屌你老母"
"【街坊目擊】<U+203C><U+FE0F>克警護送施襲者離開<U+203C><U+FE0F>片段中00:52 可見施襲者由克警護送離開，並無如對被襲者般困於封鎖線並帶返警署。",2,1,"街坊 目擊 克警 護送 施襲者 離開 片段 中 可見 施襲者 由 克警 護送 離開 並無 如對 被襲 者 般 困於 封鎖線 並 帶返 警署"
"睇隻手和塊面就知係男人啦，廢青俾人洗腦，人講乜佢信乜。",2,1,"睇 隻手 和 塊面 就 知係 男人 啦 廢青 俾人 洗腦 人 講乜 佢 信 乜"
"嗯嗯 無錯 亞視係電視台既毒瘤 嚴格黎講都唔算係電視台 只係一部宣傳機",0,0,"嗯嗯 無錯 亞視 係 電視台 既 毒瘤 嚴格 黎講 都 唔 算係 電視台 只係 一部 宣傳 機"
"契仔屌契弟;p",1,1,"契仔 屌 契弟"
"果然係廢青;p",2,1,"果然 係 廢青"
"結果果點劉鶴去做傻仔今鋪就點李鳩強去做傻仔支習真係點都贏",2,1,"結果 果點 劉鶴 去做 傻仔 今鋪 就點 李鳩強 去做 傻仔 支習 真係 點都 贏"
"香港人死性不改，搞革命同獨立都要即食。大佬同條女卜野，都要經歷個拖吓手仔，鍚吓面仔，再打車輪之再上床，再有前戲，吊而家一野就要卜野！！",1,0,"香港人 死性不改 搞 革命 同 獨立 都要 即食 大佬 同 條女 卜野 都要 經歷 個 拖 吓 手仔 鍚 吓 面仔 再打 車輪 之 再 上床 再有 前戲 吊 而家 一野 就要 卜野"
"林鄭毒娥垃圾政苦私相受受，明益工聯會。麥美娟條八婆仲要話口罩送俾團體唔收錢咁撚多嘢講，冚家鏟。",3,1,"林鄭 毒娥 垃圾 政苦 私相 受受 明益 工聯會 麥美娟 條 八婆 仲要 話 口罩 送 俾 團體 唔收錢 咁撚多 嘢 講 冚家鏟"
"出年飯淫票債票償",1,0,"出年 飯淫 票債 票償"
"應該要看精神科醫生就岩, 你怕比人拉, 做乜要過大陸入境關卡, 正如你過深圳灣口岸犯法就有權拉鳩你",1,1,"應該 要看 精神科 醫生 就岩 你 怕 比人 拉 做乜 要 過大陸 入境 關卡 正如 你過 深圳灣 口岸 犯法 就 有權 拉 鳩 你"
"香港用海水都系死,除非減少2百萬黃人",2,1,"香港 用 海水 都系 死 除非 減少 百萬 黃人"
"當然有好多5毛/支那人攻擊佢大家快啲入去like",2,1,"當然 有 好多 毛 支那人 攻擊 佢 大家 快啲 入去"
"食君之祿，忠君之事；老一輩努力工作，認真生活，女人最鍾意:lol廢青唔明白點解女神鍾意中佬，以為女神愛財；不知中佬唔止有錢，更有好多值得喜歡既特質",2,1,"食 君之 祿 忠 君之 事 老一輩 努力 工作 認真 生活 女人 最鍾意 廢青 唔明白 點解 女神 鍾意 中佬 以為 女神 愛財 不知 中佬 唔止 有錢 更有 好多 值得 喜歡 既 特質"
"又係左膠",2,1,"又係 左膠"
"政府寬免商戶水電排污費竟然包埋支持暴亂既曱甴店又係自己捉蟲入屎忽d官真係幫唔落:",2,1,"政府 寬免 商戶 水電 排污費 竟然 包埋 支持 暴亂 既 曱甴 店 又係 自己 捉蟲 入 屎忽 官 真係 幫唔落"
"點解唔去美國?那邊有很多美麗風景線吖,不過返唔返到來就唔知。",0,0,"點解 唔去 美國 那邊 有 很多 美麗 風景線 吖 不過 返唔返 到來 就 唔知"
"由612到今日，有邊一次我地面對嘅唔係一班全副武裝、喪心病狂對我地用致命武力嘅黑警。今次淨係對住班著白色衫嘅老黑、牛屎佬我地要驚？",1,1,"由 到 今日 有邊 一次 我地 面對 嘅 唔係 一班 全副武裝 喪心病狂 對 我地 用 致命 武力 嘅 黑警 今次 淨係 對住 班著 白色衫 嘅 老 黑 牛屎佬 我地 要驚"
"空管人員罷工就夠",0,0,"空管 人員 罷工 就夠"
"不嬲都係痴線",0,0,"不嬲 都係 痴線"
"靜少少啦 柒婆屌你老母",1,1,"靜少少 啦 柒婆 屌你老母"
"添馬公園下午一點至五點止暴制亂，救香港，救下一代，香港人，需要你",0,0,"添馬 公園 下午 一點 至 五 點止 暴制 亂 救 香港 救下 一代 香港人 需要 你"
"咁又唔會中共 一向都係 對外紙老虎, 對內殘忍",0,0,"咁 又 唔會 中共 一向 都係 對外 紙老虎 對內 殘忍"
"又屌呢啲人，日日就係私怨。敵人就唔撚理，自己人俾人強姦都係屌自己人先。",1,1,"又 屌 呢啲人 日日 就係 私怨 敵人 就 唔撚 理 自己人 俾人 強姦 都係 屌 自己人 先"
"法官：冇心情 唔判住",0,0,"法官 冇心 情 唔 判住"
"香港人還記得嗎？熊家俊先生（25歲） - 15/12/2017梁凌杰先生（35歲） - 15/6/2019盧曉欣小姐（21歲） - 30/6/2019鄔幸恩小姐（29歲） - 30/6/2019麥小姐（28歲） - 3/7/2019梅先生（32歲） - 5/7/2019范先生（26歲） - 22/7/2019calvin 郭先生（25歲） - 27/8/2019姬如希先生（16歲） - 2/9/2019何小姐 (27歲)） - 4/9/2019陳彥霖小姐 （15歲） - 19/9/2019(全裸墮海)王先生(22歲) - 4/11/2019(天水圍天恒邨墮樓亡)曾穎欣小姐 （26歲） - 7/11/2019周梓樂先生（22歲）- 8/11/2019(被墮樓)少女 (17歲) - 17/11/2019(全裸墮樓)李女士 (45歲) - 18/12/2019 (全裸伏屍)李仁博先生(32歲) - 19/12/2019(腳纏啞鈴墮海)翁家倫先生(41歲) - 22/12/2019(失蹤人士,藍田配水庫被用絲巾吊頸自殺)霍先生(38歲) - 29/12/2019(旺角墮樓亡)潘先生(29歲) - 30/12/2919(失蹤人士,在荃灣城門水塘被尋回屍體)陳小姐(35歲) - 30/12/2019(深水埗墮樓亡)少女(14歲) - 31/12/2019(西營盤墮樓亡)馬先生(62歲) - 3/1/2019(天水圍天恒邨墮樓亡)元朗恐襲 - 21/7/2019荃灣恐襲- 05/08/2019太子慘案 - 31/8/2019北角恐襲 - 15/09/2019荃灣實彈 - 1/10/2019西灣河實彈 - 11/11/2019圍攻中文大學 - 12/11/2019油麻地人踩人 - 18/11/2019圍攻理工大學 - 16/11/2019 29/11/2019理大廚房佬被非法禁錮 - 23/11/2019 - 20/12/2019旺角黑幫斬人事件 - 24/12/2019的士kl8929於旺角撞人後逃逸 - 24/12/2019深水埗少年疑被警員以胡椒球彈射中致由高處墮下 - 24/12/2019的士司機鄭世華涉危險駕駛,駕的士ld9663撞向市民致一名市民腿部受傷反送中運動警方行動紀錄https://tl.hkrev.info/police-timeline/「重開」又有香港人失蹤https://lih.kg/1755555- 分享自 lihkg 討論區有個 tg 失蹤人士channelhttps://t.me/findinghkerfb grouphttps://www.facebook.com/groups/434115767233839/<U+FFFC>大家仲記唔記得太子站搵朋友個姨姨？831 搵失蹤姨姨 (之後有「認罪」錄音)［勁恐怖］太子站前上鏡受訪問後被逼錄音同可能已被自殺https://lih.kg/1577080",0,0,"香港人 還 記得 嗎 熊 家俊 先生 歲 梁凌杰 先生 歲 盧曉欣 小姐 歲 鄔幸 恩 小姐 歲 麥 小姐 歲 梅 先生 歲 范 先生 歲 郭 先生 歲 姬如希 先生 歲 何 小姐 歲 陳 彥霖 小姐 歲 全裸 墮海 王 先生 歲 天水圍 天恒 邨 墮樓 亡 曾穎欣 小姐 歲 周梓樂 先生 歲 被 墮樓 少女 歲 全裸 墮樓 李 女士 歲 全裸 伏屍 李仁博 先生 歲 腳纏 啞鈴 墮海 翁家倫 先生 歲 失蹤 人士 藍田配水庫 被 用 絲巾 吊頸 自殺 霍 先生 歲 旺角 墮樓 亡 潘 先生 歲 失蹤 人士 在 荃灣 城門水塘 被 尋回 屍體 陳小姐 歲 深水埗 墮樓 亡 少女 歲 西營盤 墮樓 亡 馬 先生 歲 天水圍 天恒 邨 墮樓 亡 元朗 恐襲 荃灣 恐襲 太子 慘案 北角 恐襲 荃灣 實彈 西灣河 實彈 圍攻 中文大學 油麻地 人 踩人 圍攻 理工大學 理大 廚房佬 被 非法 禁錮 旺角 黑幫 斬人 事件 的士 於 旺角 撞 人 後 逃逸 深水埗 少年 疑 被 警員 以 胡椒 球彈 射中 致由 高處 墮下 的士司機 鄭 世華 涉 危險 駕駛 駕 的士 撞向 市民 致 一名 市民 腿部 受傷 反送 中 運動 警方 行動 紀錄 重開 又有 香港人 失蹤 分享 自 討論區 有個 失蹤 人士 大家 仲記 唔記得 太子站 搵朋友 個 姨姨 搵 失蹤 姨姨 之後 有 認罪 錄音 勁 恐怖 太子 站前 上鏡 受訪 問後 被逼 錄音 同 可能 已被 自殺"
"運動已完 大家移民流亡算",0,0,"運動 已完 大家 移民 流亡 算"
"成曰想做香港英雄，抵9死，祝你全家乞食，拾狗屎吃，一世冇運行",1,1,"成曰 想做 香港 英雄 抵9死 祝 你 全家 乞食 拾 狗屎 吃 一世 冇 運行"
"黃絲廢青廢人無腦無思，那麼樓主??????，不用講得太白啦，講得太白，叫樓主情何以堪????",2,1,"黃絲 廢青 廢人 無腦 無思 那麼 樓主 不用 講得 太白 啦 講得 太白 叫 樓主 情何以堪"
"而家死曱甴用手足策略：根本就算直接火魔都唔會割你睇七十歲阿伯死左全世界都覺得唔抵可憐",2,1,"而家 死 曱甴 用 手足 策略 根本 就算 直接 火魔 都 唔會 割 你 睇 七十歲 阿伯 死左 全世界 都 覺得 唔抵 可憐"
"其實我地要既唔係回應(respond)我地係要政府執行五大訴求",0,0,"其實 我地 要 既 唔係 回應 我地 係要 政府 執行 五大訴求"
"如果話phone in係講明係話劇節目就算但包裝為時事評論，而只是得一方立場，呢個電台節目和及後呢個電臺，不應被發電台牌照壽終正寢！",0,0,"如果 話 係 講明 係話 劇 節目 就算 但 包裝 為 時事 評論 而 只是 得 一方 立場 呢個 電台節目 和 及後 呢個 電臺 不應 被 發電 台 牌照 壽終正寢"
"有線死黑記做完曱甴當無事 :lol",2,1,"有線 死 黑記 做完 曱甴 當無事"
"所以一定要垃圾政府追究堆黑衣護。",2,0,"所以 一定 要 垃圾 政府 追究 堆 黑衣 護"
"有實體報紙<U+35CE>嘛，去圖書館就有啦",0,0,"有 實體 報紙 嘛 去 圖書館 就有 啦"
"兩頭畜牲<U+22EF><U+22EF>邊度跑來？",0,0,"兩頭 畜牲 邊度 跑來"
":lol蔡英文不如叫佢地放棄中華人民共和國居民身份啦～王丹呢個屎忽鬼有冇放棄？？？",1,1,"蔡英文 不如 叫佢 地 放棄 中華人民共和國 居民 身份 啦 王丹 呢個 屎忽鬼 有冇 放棄"
"後製唔關咩色事, 係要揀一隻色唔要換另一樣野。",0,0,"後 製 唔關 咩 色事 係要 揀 一隻 色 唔 要換 另 一樣野"
"大快人心.佢本人仲以為佢做既所作所為全世界都認同佢.點知又一次柒出國際:",1,1,"大快人心 佢 本人 仲 以為 佢做 既 所作所為 全世界 都 認 同佢 點知 又 一次 柒出國際"
"係地獄鬼國做竹鼠都特別慘",0,0,"係 地獄 鬼國 做 竹鼠 都 特別 慘"
"班黑警愈發癲，愈多無辜巿民被牽連，反對黑警嘅聲音就會愈來愈大，總之自己人不要戀戰，不要送頭，不要補捕，持續制造混亂就可以，只要能持續有遊行示威，林奠都無可能救到香港經濟命脈----旅遊業！最後輸嘅一定係林奠！",2,1,"班 黑警 愈 發癲 愈多 無辜 巿民 被牽連 反對 黑警 嘅 聲音 就會 愈來 愈大 總之 自己人 不要 戀戰 不要 送頭 不 要補 捕 持續 制造 混亂 就 可以 只要 能 持續 有遊行 示威 林奠 都 無可能 救到 香港 經濟 命脈 旅遊業 最後 輸 嘅 一 定係 林奠"
"開會d人心諗:林鄭個仆街搞到一堆屎出黎要我地日日執 , dllm",1,1,"開會 人 心諗 林鄭 個 仆街 搞到 一堆 屎 出黎 要 我地 日日 執"
"屌 一定係打乳毛球啦",1,1,"屌 一 定係 打乳 毛球 啦"
"我就換唔到喇,聽講話一早俾人換哂仲要係全線換罄,有冇咁快???: 你地又換唔換到呀???",0,0,"我 就換 唔到 喇 聽講話 一早 俾人 換哂 仲要 係 全線 換罄 有冇 咁快 你地 又換 唔換 到 呀"
"五大訴求 : 租金管制上限$10/呎五大訴求 : 高薪厚職只可聘請18至25歲五大訴求 : 垃圾會耳猿年齡限制是18至25歲五大訴求 : 鄉講症苦所有官職年齡限制是18至25歲五大訴求 : 再增加五十大訴求:缺一不可",2,1,"五大訴求 租金 管制 上限 呎 五大訴求 高薪厚職 只可 聘請 至 歲 五大訴求 垃圾會 耳猿 年齡限制 是 至 歲 五大訴求 鄉講 症苦 所有 官職 年齡限制 是 至 歲 五大訴求 再 增加 五十 大 訴求 缺一不可"
"海洋公園又奶嘢",0,0,"海洋公園 又 奶 嘢"
"大家諗下點解，國際學校、私家醫院，半山馬己仙峽道，連垃圾流膿貼紙都冇有＄人唔buy，已警告幕後漢奸",0,0,"大家 諗下 點解 國際 學校 私家醫院 半山 馬己仙峽道 連 垃圾 流膿 貼紙 都冇 有 人 唔buy 已 警告 幕後 漢奸"
"三、這將台灣安放在中國的司法觀念之內，在法理上妨礙台灣獨立。雖然只是香港一廂情願通過，但也會妨礙國際法理，而且方便一國兩制將來在台灣實現。",0,0,"三 這 將 台灣 安放 在 中國 的 司法 觀念 之內 在 法理 上 妨礙 台灣獨立 雖然 只是 香港 一廂情願 通過 但 也會 妨礙 國際 法理 而且 方便 一國兩制 將來 在 台灣 實現"
"叫沉默大多數廢老捐囉",2,1,"叫 沉默 大多數 廢老 捐 囉"
"twitter=國際線&hellip;&hellip;&hellip;淨係上連登，外國唔g你做緊乜",0,0,"國際線 淨係 上 連登 外國 唔 你 做緊 乜"
"單單第5點就ko好多偽民主人士.如果民主係好, 但點解只得少數.",0,0,"單單 第 點就 好多 偽民主 人士 如果 民主 係 好 但 點解 只得 少數"
"香港一日有港獨法官/律師/教師/記者/政黨/議員/地產霸權/毒果/妖tv等等…… 香港50年不變港人治港權利只會越來越被中央收回，禍害真港人福祉和自由生活。",0,0,"香港 一日 有 港獨 法官 律師 教師 記者 政黨 議員 地產霸權 毒果 妖 等等 香港 年 不變 港人治港 權利 只會 越來越 被中央 收回 禍害 真 港人 福祉 和 自由 生活"
"賭賭賭，日<U+F4CF>日到黑都掛住賭，又話曱甴攪到冇飯開，到而家嗰日有人出頭反班曱甴，你又係度掛住賭。。",2,1,"賭 賭 賭 日 <U+F4CF> 日到 黑 都 掛住 賭 又話 曱甴 攪到 冇 飯開 到 而家 嗰日 有人 出頭 反班 曱甴 你 又 係度 掛住 賭"
"當年英國佬令到香港人民生活安定，民生安穩，自然無反坑既心，宜家政府政策傾斜大陸人，搞亂香港，人民生活艱難同埋英國佬鎮壓最嚴重就係六七暴動，工聯會左狗殺人放火，人見人憎，全港市民都支持鎮壓",2,1,"當年 英國佬 令到 香港 人民 生活 安定 民生 安穩 自然 無反坑 既心 宜家 政府 政策 傾斜 大陸人 搞亂 香港 人民 生活 艱難 同埋 英國佬 鎮壓 最嚴重 就係 六七暴動 工聯會 左狗 殺人放火 人見人憎 全港 市民 都 支持 鎮壓"
"香港人&middot;加油",0,0,"香港人 加油"
"每年更新指引再掠水..冇錢既就逼你離境...二百幻人,每年收兩萬,大陰蒂國每年多400億收入...:lol:lol:",2,0,"每年 更新 指引 再 掠水 冇錢 既 就 逼 你 離境 二百 幻人 每年 收 兩萬 大陰蒂國 每年 多 億 收入"
"agree.k弟講過因為大部份發達國家系行緊西方嘅民主制，所以中國應該都實行民主制。可惜k弟唔記得咗大部份落後國家都系實行民主制嘅事實。樓主嘅邏輯同k弟講嘅一樣咁膠。",1,0,"弟 講過 因為 大部份 發達 國家 系 行緊 西方 嘅 民主制 所以 中國 應該 都 實行 民主制 可惜 弟 唔記得咗 大部份 落後 國家 都系 實行 民主制 嘅 事實 樓主 嘅 邏輯 同 弟 講嘅 一樣 咁膠"
"差人淨係恰良好市民.....",0,0,"差人 淨係 恰 良好 市民"
"肛門特產",1,1,"肛門 特產"
"司法程序係之後先再講判幾耐",0,0,"司法程序 係 之後 先 再講 判 幾耐"
"又要威又要戴頭盔，正垃圾??????????",0,0,"又要威又要戴頭盔 正 垃圾"
"借位推post [膊頭有花入]大家應該調轉分析下，林鄭撤回將會係我地connect對家既最好時機- 分享自 lihkg 討論區https://lih.kg/1540580",0,0,"借位 推 膊頭 有花入 大家 應該 調轉 分析下 林鄭 撤回 將會 係 我地 對家 既 最好 時機 分享 自 討論區"
"暴徙學人講什麼訴求呀?!",2,1,"暴徙 學人 講 什麼 訴求 呀"
"【922攻略流出】907更「大局」交通測試，彩虹戰衣、影帝、機巴、塞鐵、嶄新突擊rb、私家車傾巢而出，裡應外合 +機場員工集體call sick +雷達站/機場附近新搞作+大量中港貨櫃司機加入物資支援！更多攻略，陸續公布，敬請留意",0,0,"攻略 流出 更 大局 交通 測試 彩虹 戰衣 影帝 機 巴 塞 鐵 嶄新 突擊 私家車 傾巢而出 裡應 外合 機場 員工 集體 雷達站 機場 附近 新 搞作 大量 中港 貨櫃 司機 加入 物資 支援 更多 攻略 陸續 公布 敬請留意"
